"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Chandra N.; Dang P.","Chandra, N. (7102021945); Dang, P. (51664957300)","7102021945; 51664957300","Numerical modeling of superplastic deformation mechanisms","1997","Materials Science Forum","243-245","","","53","58","3","","https://www.scopus.com/pages/publications/4243243877?origin=resultslist","A numerical model based on micromechanics is proposed to predict the superplastic behavior of materials in all the three regions of the flow stress vs. strain rate (log σ - log ∈̇) plot and to predict the presence or absence of superplasticity in a given material. The model incorporates a threshold stress term for diffusional flow at the atomic level which manifests as the experimentally observed threshold stress at the macro level. The model is applied to both conventional superplastic materials (7475 aluminum alloy and Al-Zn-Mg-Cu alloy) and a high strain-rate superplastic (HSRS) material (IN905XL). With the introduction of the threshold stress, the influence of temperature and grain size on the behavior of these materials can be predicted over a wider range of strain rates. In addition the strain-rate sensitivity as a function of strain rate can be fairly accurately predicted. The variation of threshold stress with respect to temperature is also studied.","","Aluminum alloys; Diffusion; Grain size and shape; Mathematical models; Nickel alloys; Strain rate; Stresses; Superplasticity; Thermal effects; Aluminum zinc magnesium copper alloys; Superplastic deformation; Threshold stress; Plastic deformation","Article","Final","","Scopus","2-s2.0-4243243877"
"Chinh N.Q.; Juhász A.; Tasnádi P.; Lendvai J.; Kovács I.","Chinh, N.Q. (7004370200); Juhász, A. (56222726200); Tasnádi, P. (6602742527); Lendvai, J. (7006431704); Kovács, I. (57191511490)","7004370200; 56222726200; 6602742527; 7006431704; 57191511490","Effect of copper and zirconium upon the high temperature mechanical properties of AlMgZn alloys","1993","physica status solidi (a)","138","1","","175","184","6","10.1002/pssa.2211380115","https://www.scopus.com/pages/publications/84987071264?origin=resultslist","High temperature mechanical properties of AlMgZn alloys are investigated by impression creep tests and the strain rate sensitivities and activation energies obtained are presented. It is found that the steady‐state impression creep rate is strongly influenced by Cu and Zr addition. The simultaneous addition of Cu and Zr results in a fine‐grained microstructure due to which the material exhibits superplastic properties at high temperatures. Together with the superplastic behaviour the occurrence of a threshold stress is also proved. On the contrary, if the deformation is not superplastic, threshold stresses are not observable. It is shown that the relatively high apparent activation enthalpy obtained for the superplastic region of deformation is due to the strong temperature dependence of the threshold stress, and taking into account this fact a true activation enthalpy corresponding to that of the bulk diffusion can be assessed. Copyright © 1993 WILEY‐VCH Verlag GmbH & Co. KGaA","","","Article","Final","","Scopus","2-s2.0-84987071264"
"El-Magd E.","El-Magd, E. (56188063300)","56188063300","Simulation of the material behaviour under impact loading","1993","Computational Materials Science","1","3","","333","342","3","10.1016/0927-0256(93)90029-M","https://www.scopus.com/pages/publications/0027623588?origin=resultslist","During plastic deformation at high strain rates - such as in case of forging or automobile crash conditions - the mechanical behaviour of metallic materials is influenced by mass inertia forces, an increased strain rate sensitivity and the adiabatic character of the deformation process. Besides, an accurate simulation of the material behaviour needs an adequate consideration of the wave propagation, steeping and reflection phenomena. The parameters of the constitutive equations are determined by a combination of high speed materials testing and FE-simulation of testing process. The geometries are varied by including external notches and internal inclusions. As a further application example, the mechanical behaviour of steel-fibre reinforced copper is studied under impact compressive loading regarding the buckling of the slim fibres within the softer matrix. © 1993.","","Buckling; Compression testing; Copper; Deformation; Dynamic loads; Finite element method; Impact testing; Mathematical models; Metallic matrix composites; Sensitivity analysis; Steel; Strain; Steel fibre reinforced copper; Fiber reinforced metals","Article","Final","","Scopus","2-s2.0-0027623588"
"Voehringer Otmar","Voehringer, Otmar (7003663057)","7003663057","Temperature and Strain Rate Dependence of the Yield Strength of alpha Copper Alloys.; [TEMPERATUR- UND GESCHWINDIGKEITSABHAENGIGKEIT DER STRECKGREANZE VON alpha -KUPFER-LEGIERUNGEN.]","1974","Zeitschrift fuer Metallkunde/Materials Research and Advanced Techniques","65","1","","32","36","12","","https://www.scopus.com/pages/publications/0015958828?origin=resultslist","Reference is made to previous work which has shown that the temperature and strain rate dependence of yield strength can be expressed by the same simple power laws for all binary alpha copper alloys. The corresponding effect of temperature on the strain rate sensitivity is now calculated in good agreement with the experimental findings. The estimated free activation enthalpies which are characteristic for the deformation process show values of nearly 1. 6 ev for alloys of copper with Al, Ga, Ge, As, In, and Sn.","","COPPER AND ALLOYS","Article","Final","","Scopus","2-s2.0-0015958828"
"Hatayama Tomei; Okabe Takuji; Takei Hideo","Hatayama, Tomei (59024329000); Okabe, Takuji (55137831900); Takei, Hideo (7202067388)","59024329000; 55137831900; 7202067388","DEPENDENCE OF THE M-VALUE ON STRAIN RATE IN SUPERPLASTIC Al-Cu ALLOYS.","1986","Transactions of the Japan Institute of Metals","27","8","","576","583","9","10.2320/matertrans1960.27.576","https://www.scopus.com/pages/publications/0022758523?origin=resultslist","The strain rate sensitivity index, m, of Al-33% Cu and Al-27%Cu-5%Si alloys has been measured by the two methods, (a) the differential cross-head speed method and (b) the strain rate change method. The m-value by the method (a) is dependent strongly on strain and decreases with increasing strain. The m-value by the method (b) is dependent slightly on strain, but strongly on the width and the sense of the change from a given strain rate, epsilon //1, to another one, epsilon //2. The dependence of m on the width, J equals PARTIAL m/ PARTIAL ROOT (In N)**2 where N equals epsilon //2/ epsilon //1, is positive or negative depending on whether the strain rate is lower or higher than the strain rate having the maximum m-value on the m-In epsilon curve when N equals 2(the reference curve of m).","","ALUMINUM COPPER SILICON ALLOYS - Strain; METALS TESTING - Fracture; STRAIN RATE CHANGE METHOD; STRAIN RATE SENSITIVITY; SUPERPLASTICITY; Aluminum copper alloys","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0022758523"
"Yamagata Hiroshi; Izumi Osamu","Yamagata, Hiroshi (35895306600); Izumi, Osamu (7006853634)","35895306600; 7006853634","DEFORMATION AND DUCTILITY OF alpha BRASS SINGLE CRYSTALS AT ELEVATED TEMPERATURES.","1978","Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals","42","10","","1012","1019","7","10.2320/jinstmet1952.42.10_1012","https://www.scopus.com/pages/publications/0018027122?origin=resultslist","High temperature yielding and serrated flow are similar to those of polycrystalline alpha brass. Strain rate sensitivity exponent increases with increasing temperature, showing a maximum value of about 0. 21-0. 24, which is attributed to the viscous motion of dislocations. The work hardening rate after a rapid strain rate change at the steady state deformation stage takes a maximum at a certain temperature and strain rate. Ductility shows a large temperature dependence. Two ductility maxima (up to about 200% elongation) are observed at intermediate and high temperatures.","","COPPER ZINC ALLOYS","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0018027122"
"Cahoon J.R.","Cahoon, J.R. (57204263900)","57204263900","Superplasticity in AI–17 wt.-%Cu Alloy","1975","Metal Science","9","1","","346","352","15","10.1179/030634575790444829","https://www.scopus.com/pages/publications/0016523052?origin=resultslist","Hot-rolled Al–17%Cu alloy deforms superplastically at elevated temperatures with large values of strain-rate sensitivity(> 0·30) and large, neck-free elongations (> 200%). Two mechanisms appear to be involved in the deformation process. At lower stresses and strain rates the activation energy of the deformation process is similar to that for grain-boundary diffusion while at higher stresses and strain rates the activation energy corresponds to that for volume diffusion. The room-temperature properties of hot-rolled Al–17%Cu alloy are comparable to those for conventional Al alloys but superplastic deformation at elevated temperature causes a deterioration of room temperature properties because of agglomeration and sintering of the Al2Cu intermetallic phase. © 1975, The Metals Society. All rights reserved.","","Aluminum copper alloys","Article","Final","","Scopus","2-s2.0-0016523052"
"Slater R.A.C.; Johnson W.","Slater, R.A.C (7102531429); Johnson, W (24561499000)","7102531429; 24561499000","The effects of temperature, speed and strain-rate on the force and energy required in blanking","1967","International Journal of Mechanical Sciences","9","5","","271","276","12","10.1016/0020-7403(67)90022-7","https://www.scopus.com/pages/publications/0343595694?origin=resultslist","Nominal 1-in. dia. circular disks were blanked quasi-statically at a typical shear strain-rate of about 10-3 sec-1 and also dynamically (shear strain-rate range 103 to 4 × 103 sec-1), see Appendix II, from commercially pure aluminium, copper and black mild steel at temperatures of up to 773°K, 1073°K and 1373°K respectively. The dynamic blanking experiments were performed at impact speeds of up to 50 ft/sec using a linear induction motor. The maximum quasi-static blanking force was found to be nearly independent of percentage radial clearance* * The non-dimensional percentage radial clearance is defined as Radial clearance between punch and die Thickness of specimen sheet × 100 at the various temperatures and to decrease with increase in temperature. Also the energy required (ED) for dynamic blanking was greater than that for the corresponding quasi-static process (ES) for all three materials at all the temperatures investigated. For all three materials the ratio ED ES versus the homologous temperature T TM (where TM is the melting point temperature and both temperatures are °K) indicates that strain-rate sensitivities are not very great at temperatures below the recrystallization temperature (i.e. T TM {reversed tilde equals} 0.5) but are very considerable at temperatures above the recrystallization temperature. Inflexions in the relationships connecting the maximum quasi-static blanking force or energy required for both quasi-static and dynamic blanking with the temperature of the materials are demonstrated. These inflexions are associated with the recrystallization temperatures of the relatively pure metals and the A3 phase transformation in the case of the mild steel. © 1967.","","","Article","Final","","Scopus","2-s2.0-0343595694"
"Zhu T.; Reed-Hill R.E.","Zhu, Tuling (7202748474); Reed-Hill, Robert E. (7003443935)","7202748474; 7003443935","The Role of Grain Size on the Tensile Properties of Cu-4.9 at. % Sn Between 500 and 700 K","1987","High Temperature Materials and Processes","7","4","","189","199","1","10.1515/HTMP.1987.7.4.189","https://www.scopus.com/pages/publications/0023569218?origin=resultslist","Copper -4.9 at. % tin specimens with 5, 57 and 340 mean linear grain intercepts were pulled in tension between 77 and 700 K at strain rates between 4.1 x 10−1 and 4.1 x 10−6s−1 with special attention being paid to temperatures between 500 and 700 K and the 5 and 340 µm grain sizes. The purpose of the research was to study the temperature interval centered about the upper end of the dynamic strain aging (DSA) region. Earlier work/1/has shown that a model could be constructed for a Cu-Sn alloy capable of predicting the temperature and strain-rate dependence of the flow stress and its strain-rate sensitivity to temperatures near the upper end of the DSA region. This is about 500 K at a strain-rate of 10−4. Above this temperature the model failed. The present investigation shows that in the 5 µm specimens dynamic recrystallization occurred just above the DSA interval. On the other hand, no evidence was found for dynamic recrystallization in 340 µm specimens. Specimens of both grain sizes became subject to intergranular fracture beginning at the DSA work hardening peak on a constant deformation rate ultimate tensile stress versus temperature plot. The peak temperature is near the center of the DSA interval and thus well below its upper end. Both the intergranular fracture component and the brittleness of the fracture tended to increase as the temperature was raised above the peak. In the 340 µm specimens, where dynamic recrystallization did not occur, this caused the ductility to decrease steadily either with increasing temperature at constant strain-rate or with decreasing e at constant T. On the other hand, in the 5 µm specimens dynamic recrystallization caused an increase in ductility at higher temperatures and slower strain-rates. Since the dynamic recrystallization occured in a material also undergoing intergranular fracture very large ductilities were observed in the 5 µm specimens under the right conditions. © 1987 by Freund Publishing House Ltd.","","COPPER METALLOGRAPHY - Grain Size and Shape; MICROSCOPIC EXAMINATION - Scanning Electron Microscopy; STRAIN; STRESSES; MECHANICAL PROPERTIES; PORTEVIN-LE CHATELIER EFFECTS; RECRYSTALLIZATION; STRAIN AGING; STRAIN RATE; COPPER TIN ALLOYS","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-0023569218"
"Gray III G.T.; Lowe T.C.; Cady C.M.; Valiev R.Z.; Aleksandrov I.V.","Gray III, G.T. (26643627700); Lowe, T.C. (7102566911); Cady, C.M. (55871121465); Valiev, R.Z. (7103235084); Aleksandrov, I.V. (7103073354)","26643627700; 7102566911; 55871121465; 7103235084; 7103073354","Influence of strain rate & temperature on the mechanical response of ultrafine-grained Cu, Ni, and Al-4Cu-0.5Zr","1997","Nanostructured Materials","9","1-8","","477","480","186","10.1016/S0965-9773(97)00104-9","https://www.scopus.com/pages/publications/0345949241?origin=resultslist","In this paper the mechanical properties of three bulk ultrafine-grained (UFG) materials produced by Equal Channel Angular Pressing (ECA) are presented. Although the influence of strain rate and temperature on the mechanical behavior of pure Cu and Ni and a variety of their alloys has been extensively studied, the effect of strain rate and temperature on nanocrystalline materials remains poorly understood. In this paper the influence of strain rate, varied between 0.001 and ∼4500 s-1, and temperature on the compressive mechanical behavior of UFG- Cu, Ni, and Al-4Cu-0.5Zr is shown. The temperature and strain-rate sensitivity of all three metals was found to be significantly higher than that typical for annealed FCC polycrystalline metals. The yield strength values measured for the UFG-Cu and Ni were found to lie both above those extrapolated for classical Hall-Petch data on these materials supporting the importance of substructure, in addition to average grain size, to yield strength. © 1997 Acta Metallurgica Inc.","","","Article","Final","","Scopus","2-s2.0-0345949241"
